testRetest,coil,correlation
1,1,1
30,2,2
31,3,3
34,4,4
35,5,5
36,6,6
45,7,7
56,8,8
69,30,9
80,31,10
82,32,11
93,34,12
106,35,13
115,36,14
117,56,15
119,66,16
120,69,17
130,79,18
131,82,19
142,92,20
148,105,21
150,106,22
153,112,23
155,115,24
159,117,25
161,118,26
162,119,27
163,121,28
165,124,29
169,125,30
172,126,31
174,128,32
179,130,33
180,131,34
181,155,35
182,161,36
183,163,37
185,164,38
186,176,39
188,179,40
189,181,41
190,185,42
191,186,43
192,187,44
193,188,45
195,190,46
196,191,47
197,192,48
198,193,49
199,194,50
200,196,51
202,199,52
203,200,53
323,201,54
326,202,55
329,219,56
333,220,57
336,221,58
344,222,59
346,223,60
350,224,61
451,225,62
455,226,63
457,227,64
467,228,65
470,229,66
487,230,67
492,231,68
500,232,69
518,256,70
528,266,71
531,278,72
541,279,73
544,280,74
551,283,75
558,288,76
563,293,77
564,294,78
566,296,79
569,303,81
571,307,82
576,309,83
577,316,84
586,320,85
588,336,86
590,337,87
591,341,88
596,350,89
597,383,90
598,385,91
599,386,92
601,387,94
603,390,95
604,391,96
606,393,97
607,394,98
609,395,99
657,396,100
660,399,101
666,400,102
672,401,103
673,407,104
703,408,107
721,409,109
731,410,110
742,411,111
744,412,112
747,413,114
748,414,115
762,436,116
769,437,122
771,440,123
781,441,124
798,442,125
0,445,127
0,447,128
0,453,129
0,454,135
0,455,136
0,456,138
0,458,140
0,459,141
0,460,142
0,461,148
0,463,149
0,464,153
0,465,154
0,466,155
0,468,161
0,469,162
0,481,166
0,485,167
0,486,168
0,498,172
0,500,174
0,510,175
0,511,204
0,512,205
0,513,206
0,538,207
0,540,208
0,546,209
0,550,210
0,551,211
0,553,212
0,563,213
0,575,214
0,576,215
0,585,216
0,587,217
0,588,218
0,589,219
0,591,220
0,594,221
0,597,222
0,599,223
0,600,224
0,602,225
0,604,226
0,607,227
0,608,228
0,609,229
0,625,230
0,626,231
0,627,232
0,628,233
0,629,234
0,630,235
0,631,236
0,632,237
0,633,238
0,634,239
0,635,240
0,636,241
0,637,242
0,638,243
0,650,244
0,651,245
0,652,246
0,654,248
0,655,249
0,656,252
0,657,253
0,658,254
0,663,255
0,666,258
0,667,259
0,671,260
0,678,261
0,679,262
0,684,263
0,685,264
0,692,265
0,701,266
0,702,267
0,705,268
0,714,269
0,715,270
0,723,271
0,724,272
0,732,273
0,749,274
0,750,275
0,754,276
0,763,277
0,766,278
0,767,279
0,775,280
0,778,281
0,779,282
0,782,283
0,789,284
0,790,285
0,791,286
0,792,287
0,793,288
0,796,289
0,797,290
0,798,291
0,804,292
0,0,293
0,0,294
0,0,295
0,0,296
0,0,297
0,0,298
0,0,299
0,0,300
0,0,301
0,0,302
0,0,303
0,0,304
0,0,306
0,0,308
0,0,317
0,0,318
0,0,319
0,0,325
0,0,326
0,0,330
0,0,332
0,0,338
0,0,339
0,0,341
0,0,343
0,0,345
0,0,351
0,0,352
0,0,356
0,0,358
0,0,364
0,0,365
0,0,367
0,0,369
0,0,371
0,0,377
0,0,378
0,0,383
0,0,384
0,0,385
0,0,386
0,0,387
0,0,388
0,0,389
0,0,390
0,0,391
0,0,392
0,0,393
0,0,394
0,0,395
0,0,396
0,0,397
0,0,398
0,0,399
0,0,400
0,0,401
0,0,402
0,0,403
0,0,404
0,0,405
0,0,407
0,0,408
0,0,409
0,0,410
0,0,411
0,0,412
0,0,413
0,0,414
0,0,415
0,0,416
0,0,417
0,0,418
0,0,419
0,0,420
0,0,421
0,0,422
0,0,423
0,0,424
0,0,425
0,0,426
0,0,427
0,0,428
0,0,429
0,0,430
0,0,431
0,0,432
0,0,433
0,0,434
0,0,436
0,0,437
0,0,438
0,0,439
0,0,440
0,0,441
0,0,442
0,0,443
0,0,444
0,0,445
0,0,446
0,0,447
0,0,448
0,0,449
0,0,451
0,0,452
0,0,455
0,0,456
0,0,457
0,0,458
0,0,459
0,0,460
0,0,462
0,0,463
0,0,464
0,0,465
0,0,466
0,0,468
0,0,469
0,0,470
0,0,471
0,0,472
0,0,474
0,0,475
0,0,476
0,0,477
0,0,478
0,0,479
0,0,480
0,0,481
0,0,482
0,0,483
0,0,484
0,0,485
0,0,487
0,0,488
0,0,489
0,0,490
0,0,491
0,0,492
0,0,493
0,0,494
0,0,495
0,0,496
0,0,497
0,0,498
0,0,500
0,0,501
0,0,502
0,0,503
0,0,504
0,0,505
0,0,506
0,0,507
0,0,509
0,0,513
0,0,515
0,0,517
0,0,528
0,0,529
0,0,542
0,0,555
0,0,568
0,0,581
0,0,610
0,0,611
0,0,612
0,0,613
0,0,614
0,0,615
0,0,616
0,0,617
0,0,618
0,0,619
0,0,620
0,0,621
0,0,622
0,0,623
0,0,624
0,0,625
0,0,626
0,0,627
0,0,628
0,0,629
0,0,630
0,0,631
0,0,632
0,0,633
0,0,634
0,0,635
0,0,636
0,0,637
0,0,639
0,0,640
0,0,641
0,0,643
0,0,644
0,0,645
0,0,646
0,0,647
0,0,648
0,0,650
0,0,651
0,0,652
0,0,654
0,0,655
0,0,660
0,0,661
0,0,665
0,0,666
0,0,668
0,0,673
0,0,674
0,0,678
0,0,679
0,0,681
0,0,682
0,0,683
0,0,686
0,0,687
0,0,691
0,0,692
0,0,693
0,0,694
0,0,695
0,0,696
0,0,697
0,0,699
0,0,700
0,0,704
0,0,705
0,0,707
0,0,708
0,0,709
0,0,758
0,0,790
0,0,799
0,0,801
0,0,805
0,0,806
0,0,807
0,0,810
0,0,811
