testRetest,coil,correlation
45,1,1
46,2,2
56,3,3
80,4,4
93,5,5
106,6,6
115,7,7
117,8,8
118,30,9
119,31,10
120,32,11
128,34,12
130,35,13
131,36,14
142,53,15
148,54,16
150,56,17
153,66,18
159,77,19
162,86,20
163,90,21
165,99,22
167,103,23
169,106,24
172,111,25
180,112,26
182,115,27
183,117,28
184,126,29
185,128,30
186,130,31
189,155,32
190,161,33
191,162,34
192,163,35
193,164,36
194,165,37
195,169,38
196,179,39
197,181,40
198,182,41
199,183,42
201,187,43
326,188,44
329,189,45
333,192,46
336,193,49
344,194,50
346,195,51
367,196,52
407,197,53
436,200,54
437,201,55
440,202,56
451,203,57
463,253,58
476,266,59
482,276,60
483,279,61
487,280,62
491,289,63
492,292,64
498,293,65
507,296,66
518,301,67
526,309,68
530,321,69
533,330,70
544,339,71
549,341,72
550,342,73
551,347,74
554,358,75
564,363,76
577,367,77
585,379,78
586,380,79
592,390,81
596,391,82
597,394,83
598,395,84
599,396,85
602,398,86
603,399,87
606,400,88
608,401,89
609,403,90
610,404,91
611,405,92
612,406,94
613,440,95
614,455,96
615,459,97
616,460,98
617,461,99
625,467,100
626,479,101
627,480,102
628,486,103
629,493,104
630,498,109
631,511,110
639,525,111
640,529,112
643,532,114
644,537,115
645,553,116
656,564,122
658,576,123
665,589,125
666,593,127
678,594,128
679,596,129
685,599,135
690,600,136
691,601,138
695,602,140
701,603,141
726,604,142
727,605,148
740,607,149
741,608,153
743,609,155
745,645,161
747,647,162
753,648,166
767,663,167
772,678,168
774,680,172
781,696,174
788,702,175
790,704,204
806,713,205
0,724,206
0,727,207
0,729,208
0,735,209
0,737,210
0,740,211
0,749,212
0,750,213
0,752,214
0,754,215
0,755,216
0,767,217
0,769,218
0,771,219
0,782,220
0,788,221
0,791,222
0,796,223
0,802,224
0,807,225
0,812,226
0,0,227
0,0,228
0,0,229
0,0,230
0,0,231
0,0,232
0,0,233
0,0,234
0,0,235
0,0,236
0,0,237
0,0,238
0,0,239
0,0,240
0,0,241
0,0,242
0,0,243
0,0,244
0,0,245
0,0,246
0,0,248
0,0,249
0,0,252
0,0,253
0,0,254
0,0,255
0,0,258
0,0,259
0,0,260
0,0,261
0,0,262
0,0,263
0,0,264
0,0,265
0,0,266
0,0,267
0,0,268
0,0,269
0,0,270
0,0,271
0,0,272
0,0,273
0,0,274
0,0,275
0,0,276
0,0,277
0,0,278
0,0,279
0,0,280
0,0,281
0,0,282
0,0,283
0,0,284
0,0,285
0,0,286
0,0,287
0,0,288
0,0,289
0,0,290
0,0,291
0,0,292
0,0,293
0,0,294
0,0,295
0,0,296
0,0,297
0,0,298
0,0,299
0,0,300
0,0,301
0,0,302
0,0,303
0,0,304
0,0,306
0,0,308
0,0,317
0,0,318
0,0,319
0,0,325
0,0,326
0,0,330
0,0,332
0,0,338
0,0,339
0,0,341
0,0,343
0,0,345
0,0,351
0,0,352
0,0,356
0,0,358
0,0,364
0,0,365
0,0,367
0,0,369
0,0,371
0,0,377
0,0,378
0,0,383
0,0,384
0,0,385
0,0,388
0,0,389
0,0,390
0,0,391
0,0,392
0,0,393
0,0,394
0,0,395
0,0,396
0,0,397
0,0,398
0,0,399
0,0,400
0,0,401
0,0,402
0,0,403
0,0,404
0,0,405
