testRetest,coil,correlation
106,41,1
120,45,2
147,46,3
153,48,4
155,60,5
156,61,6
162,64,7
163,73,8
165,77,9
169,80,10
181,85,11
182,86,12
183,87,13
187,90,14
188,91,15
189,98,16
190,99,17
193,100,18
197,101,19
201,103,20
202,104,21
203,111,22
264,112,23
437,113,24
451,115,25
485,117,26
497,119,27
498,134,28
510,141,29
521,143,30
529,168,31
532,174,32
538,176,33
551,180,34
557,182,35
560,183,36
563,184,37
579,186,38
586,187,39
587,188,40
589,190,41
590,193,42
592,195,43
594,196,44
598,198,45
599,199,46
602,201,47
603,202,48
604,203,49
605,257,50
608,258,51
609,283,52
610,291,53
611,296,55
612,304,56
613,305,57
614,307,58
615,313,59
616,317,60
617,320,61
639,332,62
640,338,63
643,339,64
661,341,65
663,344,66
669,347,67
674,360,68
687,361,69
689,362,70
700,381,71
701,386,72
716,388,73
723,390,74
742,391,75
743,396,76
745,415,77
747,416,78
749,417,81
758,418,82
760,419,83
761,420,84
764,421,85
769,422,86
770,423,87
771,424,88
773,425,89
782,426,90
784,427,91
788,428,94
798,438,95
811,439,96
0,443,97
0,444,98
0,445,99
0,446,100
0,447,101
0,448,102
0,449,103
0,450,104
0,453,109
0,457,110
0,460,111
0,463,112
0,465,114
0,466,115
0,476,116
0,485,117
0,488,118
0,489,122
0,500,123
0,501,124
0,502,125
0,503,127
0,504,128
0,513,129
0,514,131
0,515,135
0,516,136
0,523,140
0,526,141
0,527,142
0,529,144
0,537,148
0,553,149
0,559,153
0,565,154
0,566,155
0,567,157
0,568,161
0,570,162
0,579,166
0,582,167
0,586,168
0,588,170
0,589,172
0,594,174
0,596,175
0,597,204
0,599,205
0,602,206
0,603,207
0,605,208
0,608,209
0,609,210
0,646,211
0,647,212
0,650,213
0,651,214
0,652,215
0,654,216
0,656,217
0,660,218
0,663,219
0,664,220
0,669,221
0,679,222
0,689,223
0,692,224
0,697,225
0,700,226
0,701,227
0,702,228
0,703,229
0,705,230
0,710,231
0,713,232
0,717,233
0,725,234
0,726,235
0,729,236
0,736,237
0,754,238
0,755,239
0,765,240
0,767,241
0,778,242
0,779,243
0,782,244
0,785,245
0,789,246
0,791,248
0,792,249
0,794,252
0,795,253
0,797,254
0,802,255
0,804,258
0,805,259
0,806,260
0,807,261
0,811,262
0,812,263
0,0,264
0,0,265
0,0,266
0,0,267
0,0,268
0,0,269
0,0,270
0,0,271
0,0,272
0,0,273
0,0,274
0,0,275
0,0,276
0,0,277
0,0,278
0,0,279
0,0,280
0,0,281
0,0,282
0,0,284
0,0,285
0,0,286
0,0,287
0,0,288
0,0,289
0,0,290
0,0,291
0,0,292
0,0,293
0,0,294
0,0,295
0,0,297
0,0,298
0,0,299
0,0,300
0,0,301
0,0,302
0,0,303
0,0,304
0,0,306
0,0,307
0,0,317
0,0,318
0,0,319
0,0,325
0,0,326
0,0,328
0,0,330
0,0,332
0,0,338
0,0,339
0,0,341
0,0,343
0,0,345
0,0,351
0,0,352
0,0,354
0,0,356
0,0,357
0,0,358
0,0,362
0,0,364
0,0,365
0,0,369
0,0,370
0,0,371
0,0,375
0,0,377
0,0,378
0,0,383
0,0,384
0,0,385
0,0,386
0,0,387
0,0,388
0,0,389
0,0,390
0,0,391
0,0,392
0,0,393
0,0,394
0,0,395
0,0,396
0,0,397
0,0,398
0,0,399
0,0,400
0,0,401
0,0,402
0,0,403
0,0,404
0,0,405
0,0,407
0,0,408
0,0,409
0,0,410
0,0,411
0,0,412
0,0,413
0,0,414
0,0,415
0,0,416
0,0,417
0,0,418
0,0,419
0,0,420
0,0,421
0,0,422
0,0,423
0,0,424
0,0,425
0,0,426
0,0,427
0,0,428
0,0,429
0,0,430
0,0,431
0,0,432
0,0,433
0,0,434
0,0,435
0,0,436
0,0,437
0,0,438
0,0,439
0,0,440
0,0,441
0,0,442
0,0,443
0,0,444
0,0,445
0,0,446
0,0,447
0,0,448
0,0,449
0,0,450
0,0,451
0,0,452
0,0,455
0,0,456
0,0,457
0,0,458
0,0,459
0,0,460
0,0,462
0,0,463
0,0,464
0,0,465
0,0,466
0,0,467
0,0,468
0,0,469
0,0,470
0,0,471
0,0,472
0,0,474
0,0,475
0,0,476
0,0,477
0,0,478
0,0,479
0,0,480
0,0,481
0,0,482
0,0,483
0,0,484
0,0,485
0,0,487
0,0,488
0,0,489
0,0,490
0,0,491
0,0,492
0,0,493
0,0,494
0,0,495
0,0,496
0,0,497
0,0,498
0,0,500
0,0,501
0,0,502
0,0,503
0,0,504
0,0,505
0,0,506
0,0,507
0,0,508
0,0,509
0,0,511
0,0,513
0,0,515
0,0,518
0,0,528
0,0,529
0,0,533
0,0,534
0,0,541
0,0,542
0,0,546
0,0,547
0,0,554
0,0,555
0,0,559
0,0,560
0,0,567
0,0,568
0,0,572
0,0,573
0,0,580
0,0,581
0,0,610
0,0,611
0,0,612
0,0,613
0,0,614
0,0,615
0,0,616
0,0,617
0,0,618
0,0,619
0,0,620
0,0,621
0,0,622
0,0,623
0,0,624
0,0,625
0,0,626
0,0,627
0,0,628
0,0,629
0,0,630
0,0,631
0,0,632
0,0,633
0,0,634
0,0,635
0,0,636
0,0,637
0,0,639
0,0,640
0,0,641
0,0,642
0,0,643
0,0,644
0,0,645
0,0,646
0,0,647
0,0,648
0,0,650
0,0,651
0,0,652
0,0,654
0,0,655
0,0,658
0,0,660
0,0,661
0,0,665
0,0,666
0,0,667
0,0,668
0,0,670
0,0,671
0,0,673
0,0,674
0,0,678
0,0,679
0,0,680
0,0,681
0,0,682
0,0,683
0,0,684
0,0,685
0,0,686
0,0,687
0,0,691
0,0,692
0,0,693
0,0,694
0,0,695
0,0,696
0,0,697
0,0,698
