testRetest,coil,correlation
45,45,1
105,51,2
141,52,3
144,54,4
145,57,5
159,58,6
166,59,7
168,61,8
171,62,9
172,64,10
173,65,11
174,66,12
175,67,13
176,68,14
178,71,15
180,72,16
181,74,17
183,77,18
185,78,19
186,79,20
187,81,21
188,84,22
191,85,23
193,87,24
194,88,25
195,90,26
196,91,27
197,92,28
199,95,29
200,97,30
201,98,31
202,99,32
203,100,33
245,105,34
270,108,35
272,111,36
283,113,37
285,123,38
296,126,39
308,144,40
332,156,41
336,167,42
338,169,43
340,174,45
341,180,46
344,181,47
346,182,48
353,185,49
359,187,50
443,189,51
444,193,52
445,195,54
447,203,55
453,242,56
454,246,57
455,247,58
457,250,59
459,284,60
477,295,61
483,308,62
491,318,63
494,321,64
503,331,65
504,334,66
505,335,67
515,348,68
516,356,69
528,359,70
537,364,71
542,367,72
545,371,73
553,374,74
564,376,75
568,377,76
573,380,77
592,389,78
593,390,79
594,391,80
596,394,81
599,395,82
600,396,83
601,400,84
603,401,85
604,444,86
606,452,87
607,460,88
608,466,89
646,470,90
647,473,91
651,474,92
656,478,93
657,479,94
660,481,95
662,485,96
669,491,97
671,499,98
673,506,99
676,508,100
684,520,101
688,525,103
703,538,104
711,552,111
714,563,114
715,577,115
722,588,116
726,589,118
727,593,120
729,596,122
730,598,123
731,599,127
740,600,128
753,601,129
758,602,131
768,603,133
776,604,135
794,608,136
795,618,140
796,619,141
797,620,142
799,621,144
800,622,146
801,623,148
804,624,149
805,644,153
806,646,155
807,647,157
808,649,159
0,650,161
0,651,162
0,665,166
0,669,167
0,673,168
0,676,170
0,681,172
0,682,174
0,698,175
0,699,204
0,711,205
0,724,206
0,726,207
0,728,208
0,731,209
0,734,210
0,741,211
0,747,212
0,754,213
0,755,214
0,757,215
0,761,216
0,765,217
0,767,218
0,768,219
0,774,220
0,778,221
0,781,222
0,795,223
0,796,224
0,799,225
0,800,226
0,801,227
0,803,228
0,805,229
0,806,230
0,809,231
0,0,233
0,0,234
0,0,235
0,0,236
0,0,237
0,0,238
0,0,239
0,0,240
0,0,241
0,0,242
0,0,243
0,0,244
0,0,245
0,0,246
0,0,248
0,0,249
0,0,252
0,0,253
0,0,254
0,0,255
0,0,259
0,0,260
0,0,261
0,0,262
0,0,263
0,0,264
0,0,265
0,0,266
0,0,267
0,0,268
0,0,272
0,0,273
0,0,274
0,0,275
0,0,276
0,0,277
0,0,278
0,0,279
0,0,280
0,0,281
0,0,284
0,0,285
0,0,286
0,0,287
0,0,288
0,0,289
0,0,290
0,0,291
0,0,292
0,0,293
0,0,294
0,0,295
0,0,296
0,0,297
0,0,298
0,0,299
0,0,300
0,0,301
0,0,302
0,0,303
0,0,304
0,0,306
0,0,317
0,0,318
0,0,319
0,0,326
0,0,330
0,0,331
0,0,332
0,0,338
0,0,339
0,0,343
0,0,345
0,0,351
0,0,352
0,0,356
0,0,358
0,0,364
0,0,365
0,0,369
0,0,371
0,0,377
0,0,378
0,0,383
0,0,384
0,0,385
0,0,386
0,0,388
0,0,389
0,0,390
0,0,391
0,0,392
0,0,393
0,0,394
0,0,395
0,0,397
0,0,398
0,0,399
0,0,401
0,0,402
0,0,403
0,0,404
0,0,405
0,0,407
0,0,408
0,0,409
0,0,410
0,0,411
0,0,412
0,0,413
0,0,414
0,0,415
0,0,416
0,0,417
0,0,418
0,0,419
0,0,420
0,0,421
0,0,422
0,0,423
0,0,424
0,0,425
0,0,426
0,0,427
0,0,428
0,0,429
0,0,430
0,0,431
0,0,432
0,0,433
0,0,434
0,0,436
0,0,437
0,0,438
0,0,440
0,0,441
0,0,443
0,0,444
0,0,447
0,0,448
0,0,449
0,0,451
0,0,452
0,0,456
0,0,457
0,0,459
0,0,461
0,0,462
0,0,463
0,0,465
0,0,466
0,0,469
0,0,470
0,0,474
0,0,475
0,0,476
0,0,478
0,0,479
0,0,482
0,0,483
0,0,487
0,0,488
0,0,489
0,0,490
0,0,491
0,0,492
0,0,493
0,0,495
0,0,496
0,0,500
0,0,501
0,0,502
0,0,504
0,0,505
0,0,509
0,0,515
0,0,518
0,0,529
0,0,542
0,0,555
0,0,559
0,0,568
0,0,572
0,0,581
0,0,610
0,0,611
0,0,612
0,0,613
0,0,614
0,0,615
0,0,616
0,0,617
0,0,618
0,0,619
0,0,620
0,0,621
0,0,622
0,0,623
0,0,624
0,0,625
0,0,626
0,0,627
0,0,628
0,0,629
0,0,630
0,0,631
0,0,632
0,0,633
0,0,634
0,0,635
0,0,636
0,0,637
0,0,639
0,0,640
0,0,641
0,0,643
0,0,644
0,0,646
0,0,647
0,0,651
0,0,654
0,0,655
0,0,660
0,0,665
0,0,668
0,0,673
0,0,678
0,0,681
0,0,686
0,0,691
0,0,692
0,0,694
0,0,698
0,0,699
0,0,704
0,0,707
0,0,708
0,0,712
0,0,732
0,0,745
0,0,758
0,0,771
0,0,784
0,0,800
0,0,801
