testRetest,coil,correlation
53,49,1
92,51,2
120,52,3
131,54,4
144,55,5
145,57,6
159,58,7
168,59,8
171,60,9
173,61,10
174,62,11
176,64,12
177,65,13
181,67,14
182,68,15
183,71,16
185,72,17
186,74,18
187,75,19
188,77,20
190,78,21
191,81,22
192,82,23
193,84,24
194,85,25
195,87,26
196,90,27
197,91,28
198,95,29
199,98,30
201,100,31
202,108,32
203,114,33
236,123,34
270,126,35
272,137,36
283,144,37
285,156,38
296,167,39
298,168,40
308,169,41
311,174,42
332,183,43
336,187,44
338,188,45
341,189,46
346,191,47
351,193,48
353,196,49
357,198,50
359,199,51
370,200,52
376,201,54
382,202,55
441,203,56
443,242,57
444,243,58
445,246,59
448,247,60
449,250,61
455,256,62
457,271,63
459,284,64
460,295,65
468,299,66
471,308,67
472,309,68
481,312,69
482,318,70
485,319,71
489,320,72
492,321,73
493,334,74
495,335,75
496,346,76
505,348,77
511,356,78
516,359,79
518,364,80
521,367,81
524,371,82
526,376,83
533,377,84
537,380,85
542,389,86
543,390,87
545,391,88
550,394,89
553,395,90
564,396,91
566,400,92
568,401,93
573,402,94
580,445,95
583,446,96
586,451,97
587,453,98
589,460,99
596,471,100
597,480,101
600,481,103
601,482,104
602,492,110
603,496,111
606,505,114
608,508,115
640,519,116
647,521,120
648,522,122
649,523,123
651,526,127
653,546,128
655,553,129
662,554,133
663,572,135
671,577,136
676,586,140
679,591,141
687,595,142
688,596,146
692,597,148
695,598,149
697,599,153
699,600,155
700,601,159
708,602,161
710,603,162
713,606,166
715,607,167
724,608,168
726,641,170
729,642,172
738,645,174
740,647,175
741,648,204
742,654,205
746,656,206
749,658,207
753,661,208
754,662,209
755,663,210
767,669,211
772,685,212
780,686,213
781,689,214
786,695,215
803,700,216
804,706,217
806,711,218
808,713,219
811,714,220
812,719,221
0,724,222
0,728,223
0,731,224
0,747,225
0,754,226
0,758,227
0,762,228
0,767,229
0,768,230
0,775,231
0,778,233
0,780,234
0,781,235
0,786,236
0,789,237
0,792,238
0,802,239
0,805,240
0,806,241
0,808,242
0,810,243
0,0,244
0,0,245
0,0,246
0,0,248
0,0,249
0,0,252
0,0,253
0,0,254
0,0,255
0,0,259
0,0,260
0,0,261
0,0,262
0,0,263
0,0,264
0,0,265
0,0,266
0,0,267
0,0,268
0,0,272
0,0,273
0,0,274
0,0,275
0,0,276
0,0,277
0,0,278
0,0,279
0,0,280
0,0,281
0,0,283
0,0,284
0,0,285
0,0,286
0,0,287
0,0,288
0,0,289
0,0,290
0,0,291
0,0,292
0,0,293
0,0,294
0,0,295
0,0,296
0,0,297
0,0,298
0,0,299
0,0,300
0,0,301
0,0,302
0,0,303
0,0,304
0,0,306
0,0,317
0,0,318
0,0,319
0,0,326
0,0,330
0,0,331
0,0,332
0,0,339
0,0,343
0,0,345
0,0,352
0,0,356
0,0,358
0,0,365
0,0,369
0,0,371
0,0,378
0,0,383
0,0,384
0,0,385
0,0,388
0,0,389
0,0,390
0,0,391
0,0,392
0,0,393
0,0,394
0,0,395
0,0,397
0,0,398
0,0,399
0,0,402
0,0,403
0,0,404
0,0,405
0,0,407
0,0,408
0,0,409
0,0,410
0,0,411
0,0,412
0,0,413
0,0,414
0,0,415
0,0,416
0,0,417
0,0,418
0,0,419
0,0,420
0,0,421
0,0,422
0,0,423
0,0,424
0,0,425
0,0,426
0,0,427
0,0,428
0,0,429
0,0,430
0,0,431
0,0,432
0,0,433
0,0,434
0,0,436
0,0,437
0,0,438
0,0,440
0,0,441
0,0,443
0,0,444
0,0,448
0,0,451
0,0,452
0,0,456
0,0,457
0,0,461
0,0,462
0,0,463
0,0,465
0,0,466
0,0,469
0,0,470
0,0,475
0,0,476
0,0,478
0,0,479
0,0,483
0,0,488
0,0,489
0,0,492
0,0,496
0,0,500
0,0,501
0,0,502
0,0,505
0,0,509
0,0,518
0,0,529
0,0,542
0,0,555
0,0,568
0,0,572
0,0,581
0,0,610
0,0,611
0,0,612
0,0,613
0,0,614
0,0,615
0,0,616
0,0,617
0,0,618
0,0,619
0,0,620
0,0,621
0,0,622
0,0,623
0,0,624
0,0,625
0,0,626
0,0,627
0,0,628
0,0,629
0,0,630
0,0,632
0,0,633
0,0,634
0,0,635
0,0,636
0,0,637
0,0,639
0,0,640
0,0,641
0,0,643
0,0,646
0,0,647
0,0,653
0,0,654
0,0,655
0,0,660
0,0,665
0,0,668
0,0,678
0,0,686
0,0,695
0,0,698
0,0,705
0,0,707
0,0,712
