testRetest,coil,correlation
46,1,1
66,30,2
114,31,3
123,34,4
126,35,5
141,36,6
143,37,7
144,38,8
145,39,9
148,41,10
150,42,11
154,49,12
156,51,13
170,52,14
171,54,15
172,55,16
173,57,17
178,58,18
181,59,19
184,60,20
189,62,21
191,64,22
193,65,23
194,67,24
196,68,25
202,70,26
282,71,27
300,72,28
309,73,29
330,74,30
336,75,31
342,77,32
349,78,33
359,80,34
363,81,35
373,84,36
408,85,37
409,86,38
410,87,39
411,88,40
412,90,41
413,91,42
414,92,43
429,94,45
430,97,46
431,98,47
432,100,48
433,101,49
434,104,50
435,105,51
436,107,52
437,110,56
438,111,57
439,113,58
449,116,59
456,121,60
465,122,61
475,124,62
478,125,63
485,140,64
488,142,65
498,144,67
501,146,68
506,147,69
507,148,70
510,149,71
511,150,72
519,151,73
529,152,74
535,156,75
536,159,76
548,160,77
553,161,78
554,163,79
556,164,80
563,166,81
568,169,82
571,172,83
577,173,84
585,175,85
588,176,86
590,177,87
591,178,88
592,179,89
593,182,90
600,183,91
601,187,92
602,188,93
606,196,94
607,198,95
608,199,96
611,200,97
612,203,98
613,267,99
614,275,100
615,311,101
616,318,103
617,330,104
625,331,111
626,335,114
627,342,115
628,348,116
629,361,118
630,362,120
631,369,122
632,375,123
633,387,124
634,389,127
635,393,128
636,394,129
637,395,131
638,396,133
639,397,135
640,398,136
641,399,137
644,400,140
649,401,141
659,403,142
668,404,144
671,405,146
678,406,148
681,446,149
688,449,150
689,453,153
691,458,154
701,460,155
704,464,157
706,468,159
710,471,161
719,474,162
720,480,163
722,481,166
726,484,167
736,487,168
738,489,170
741,492,172
742,493,174
745,494,175
747,500,176
755,507,204
759,510,205
760,513,206
769,525,207
779,527,208
782,537,209
784,540,210
785,549,211
788,551,212
789,559,213
794,566,214
797,569,215
799,570,216
800,573,217
802,575,218
804,579,219
805,592,220
809,594,221
0,596,222
0,598,223
0,600,224
0,602,225
0,603,226
0,606,227
0,607,228
0,611,229
0,612,230
0,613,231
0,614,232
0,615,233
0,616,234
0,617,235
0,639,236
0,640,237
0,641,238
0,644,239
0,645,240
0,652,241
0,654,242
0,656,243
0,665,244
0,675,245
0,678,246
0,690,248
0,691,249
0,692,250
0,695,252
0,703,254
0,716,255
0,721,259
0,730,260
0,739,261
0,741,262
0,744,263
0,756,264
0,768,265
0,769,266
0,771,267
0,773,268
0,774,272
0,775,273
0,776,274
0,780,275
0,782,276
0,784,277
0,785,278
0,786,279
0,787,280
0,788,281
0,789,284
0,790,285
0,0,286
0,0,287
0,0,288
0,0,289
0,0,290
0,0,291
0,0,292
0,0,293
0,0,294
0,0,295
0,0,296
0,0,297
0,0,298
0,0,299
0,0,300
0,0,301
0,0,302
0,0,303
0,0,304
0,0,306
0,0,317
0,0,318
0,0,319
0,0,323
0,0,325
0,0,326
0,0,330
0,0,331
0,0,332
0,0,336
0,0,338
0,0,339
0,0,343
0,0,345
0,0,351
0,0,352
0,0,356
0,0,358
0,0,362
0,0,364
0,0,365
0,0,369
0,0,370
0,0,371
0,0,375
0,0,377
0,0,378
0,0,383
0,0,384
0,0,385
0,0,386
0,0,387
0,0,388
0,0,389
0,0,390
0,0,391
0,0,392
0,0,393
0,0,394
0,0,396
0,0,397
0,0,398
0,0,399
0,0,401
0,0,402
0,0,403
0,0,404
0,0,405
0,0,407
0,0,408
0,0,409
0,0,410
0,0,411
0,0,412
0,0,413
0,0,414
0,0,415
0,0,416
0,0,417
0,0,418
0,0,419
0,0,420
0,0,421
0,0,422
0,0,423
0,0,424
0,0,425
0,0,426
0,0,427
0,0,428
0,0,429
0,0,430
0,0,431
0,0,432
0,0,433
0,0,434
0,0,436
0,0,437
0,0,438
0,0,439
0,0,440
0,0,441
0,0,442
0,0,443
0,0,444
0,0,445
0,0,447
0,0,448
0,0,449
0,0,451
0,0,452
0,0,453
0,0,454
0,0,455
0,0,456
0,0,457
0,0,459
0,0,461
0,0,462
0,0,463
0,0,464
0,0,465
0,0,466
0,0,468
0,0,469
0,0,470
0,0,471
0,0,474
0,0,475
0,0,476
0,0,477
0,0,478
0,0,479
0,0,480
0,0,481
0,0,482
0,0,483
0,0,484
0,0,486
0,0,487
0,0,488
0,0,489
0,0,490
0,0,491
0,0,492
0,0,493
0,0,494
0,0,495
0,0,496
0,0,497
0,0,499
0,0,500
0,0,501
0,0,502
0,0,503
0,0,504
0,0,505
0,0,506
0,0,508
0,0,509
0,0,513
0,0,515
0,0,518
0,0,520
0,0,523
0,0,529
0,0,533
0,0,542
0,0,546
0,0,547
0,0,555
0,0,559
0,0,560
0,0,568
0,0,572
0,0,574
0,0,581
0,0,610
0,0,611
0,0,612
0,0,613
0,0,614
0,0,615
0,0,616
0,0,617
0,0,618
0,0,619
0,0,620
0,0,621
0,0,622
0,0,623
0,0,624
0,0,625
0,0,626
0,0,627
0,0,628
0,0,629
0,0,630
0,0,631
0,0,632
0,0,633
0,0,634
0,0,635
0,0,636
0,0,637
0,0,639
0,0,640
0,0,641
0,0,643
0,0,644
0,0,646
0,0,647
0,0,652
0,0,654
0,0,655
0,0,660
0,0,665
0,0,668
0,0,673
0,0,678
0,0,681
0,0,686
0,0,691
0,0,694
0,0,696
0,0,697
0,0,698
0,0,699
0,0,700
0,0,704
0,0,705
0,0,706
0,0,707
0,0,709
0,0,732
0,0,745
0,0,758
0,0,771
0,0,775
0,0,784
0,0,795
0,0,799
0,0,800
0,0,801
0,0,807
